title,video_len,views,date_time,video_link,thumbnail_link,likes,Description
"Guru Randhawa: Signs (Lyrical) | Man Of The Moon | Rupan Bal, Sanjoy | Bhushan Kumar",2:48,17K views,41 minutes ago,https://www.youtube.com/watch?v=e6yyImES6PE,https://i.ytimg.com/vi/e6yyImES6PE/hqdefault.jpg,1.9K,"#SIGNS #gururandhawa #ManOfTheMoon Presenting the lyrical version of the song, ""SIGNS"" from the Guru Randhawa's new album, ""Man Of The Moon"" sung, composed and penned by Guru Randhawa, directed by Rupan Bal, music produced by Sanjoy ♪Full Song Available on♪ JioSaavn: https://bit.ly/3ADeY7wSpotify: https://spoti.fi/3ADqPCNHungama: https://bit.ly/3CnktbLGaana: https://bit.ly/3Ck2SScApple Music: https://apple.co/3ClJsfAAmazon Prime Music: https://amzn.to/3PGIRIrWynk: https://bit.ly/3wlEgEOResso: https://bit.ly/3Ck3cAoiTunes: https://apple.co/3CmCUgMYouTube Music: https://bit.ly/3Ci1bVoSong: SignsComposer: Guru RandhawaLyrics: Guru RandhawaSinger: Guru RandhawaFeaturing: Guru RandhawaVideo Director: Rupan BalMusic Produced by: SanjoyMixed by SanjoyMastered by Ryan ShanahanVideo Credits:Video: Rupan Bal Films Director: Rupan Bal Edit/Colour/VFX: DilpreetVFX Creative Director and Designer: Anmol  RainaAD: Prabhpal SinghCo-Dir: Grisha Paraskov_________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
"Thank God | Dialogue Promo 01: Insano Ki Sabse Badi Galti | Ajay Devgn, Sidharth, Rakul | Bhushan K",0:30,284K views,17 hours ago,https://www.youtube.com/watch?v=HeCZ4_EaSEE,https://i.ytimg.com/vi/HeCZ4_EaSEE/hqdefault.jpg,15K,"Iss Deepawali Hoga, Sabhi Karmo Ka HisaabBook Your Tickets Now: 👉 https://bookmy.show/Thank-God-VoucherA man, full of all sins and confusion reaches to “Yamlok” where Chitragupt offers him to play a game of life. Mr. Indra Kumar promises to put all the viewers on a hilarious rollercoaster ride with #ThankGod  Presenting the Dialogue Promo from the movie, ""Thank God"" starring Ajay Devgn, Sidharth Malhotra, RakulpreetGulshan Kumar, T-Series & Maruti International PresentA T-Series Films & Maruti International Production""Thank God""Directed By:  Indra KumarProduced By:  Bhushan Kumar, Krishan KumarProduced By: Ashok Thakeria, Sunir Kheterpal, Deepak MukutProduced By:  Indra Kumar, Anand Pandit, Markand AdhikariCo-Producers:  Shiv Chanana, Yash ShahPresident Global Digital Business & Legal (T-Series): Neeraj KalyanWritten By:  Aakash Kaushik, Madhur SharmaDirector Of Photography: Aseem Bajaj, GBCTEditor:  Dharmendra Sharma (A.F.V.E.)Music:  Tanishk Bagchi, Rochak Kohli, Anand Raaj Anand, Chamath SangeethLyrics:  Manoj Muntashir, Rashmi-Virag, Sameer, Dulan ARX, Mellow DAssociate Producer: Dilip MistrySound Designer: Pradeep SuriProduction Designer: Bhavik M. DalwadiAction Director:  R. P. YadavDirector Of Choreography: Ganesh Hegde, Tushar Kalia, Dilip MestryBackground Music: Amar MohileProject Manager:  Alok Kumar ShuklaFilm Content Team (T-Series):  Farahjaan SheikhMarketing & Promotions (T-Series) :  Shivam Chanana, Raj Chanana, Prashant Shetty, Mita Choudhary, Rahul Dubey, Amol Bhamare, Heett Savla,Music on: T-Series Music Team (T-Series): Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin SachdevaPublicity Design By:  Himanshu/Rahul Nanda (H-One)Media Consultant: Parag Desai (Universal Communications)Marketing Director: Varun Gupta (Max)Digital Marketing: White Rivers MediaVisual Promotions: Trigger Happy Entertainment NetworkVFX: Ny VfxwaalaCreative Head: Naveen PaulVFX Supervisor: Sohel K. ShaikhVFX Line Producer: Bhoomika Jethwa PrajapatiCOO: N Vinoth GaneshDI: Ny Di-WaalaColorist:  Jayadev Tiruveaipati (Jd)DI Head of Production:  Sameer Vasudeo ArekarExecutive Producer: Pitambar Kharal (Ganesh)Line Producer: Awadhesh UpadhyayPost Production Head: Tarang Vaidya _________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
Dhokha: Round D Corner | Dialogue Promo 03: Woh Ghar Par Akeli Hai | 23rd Sep 2022 | Bhushan Kumar,0:20,104K views,18 hours ago,https://www.youtube.com/watch?v=unhLQ7pi15U,https://i.ytimg.com/vi/unhLQ7pi15U/hqdefault.jpg,2.4K,"""Yahan Har Kadam Par Dhokha Hai"" Pata karo #SachKyaHai Presenting, Dialogue Promo 03: ""Woh Ghar Par Akeli Hai"" from the movie, #DhokhaRoundDCorner starring R. Madhavan, Khushalii Kumar, Darshan Kumar, Aparshakti KhuranaGulshan Kumar & T Series PresentsA T Series Films Production, ""DHOKHA: Round D Corner""Produced By: Bhushan Kumar, Krishan Kumar, Dharmendra Sharma, Vikrant SharmaA Film by Kookie Gulati and is slated to hit cinemas on 23rd September 2022.Co-Producer  Shiv Chanana   President Global Digital Business & Legal (T-Series) Neeraj KalyanWritten By : Kookie Gulati Dialogues And Additional Screenplay: Neeraj Singh Dop: Amit Roy Production Design: Durgaprasad Mahapatra Editor: Dharmendra Sharma (A.F.V.E)Project Manager: Alok Kumar Shukla  Marketing & Promotions  Shivam Chanana, Raj Chanana, Prashant Shetty, Mita Choudhary, Rahul Dubey, Amol Bhamare, Heett SavlaMusic On: T-Series  Music Team: Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin SachdevaCostume Designers: Sanam RatnasiHead Of Production (T-Series): Mahipal Karan Rathore Associate Director: Ameet SiinghMusic : Tanishk Bagchi, Bappi Lahiri, Rochak KohliLyrics: Kumaar, AnjaanAction Director: Abbas Ali Moghul Background Music: Amar MohileSound Designer: Kaarthic SenthilRe-Recording Mixer: Akash Sengupta & Yogesh Nehe,Executive Producer: Meenakshi PandeyPost Production: The Post Co. Casting Director: Mukesh Chhabra(Csa)  Hair And Make Up Designer. :Rebecca Rodrigues,Choreographer: Ranju Varghese   Publicity Design: Himanshu & Rahul Nanda (H-One)  Di: Red Chillies Color Colorist: Ken Metzker Vfx: After Studios Creative Head: Rajeev Rajasekharan (After Studios)Visual Promotion: Just Right Studioz NxPr Agency: Communiqué Film Pr Marketing Director: Varun Gupta (Max) Digital Marketing: Little Monk Doyenne_________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
"Alcoholia - Vikram Vedha - Song Launch Event | Hrithik Roshan | Vishal-Sheykhar | Snigdhajit,Ananya",58:15,689K views,Streamed 21 hours ago,https://www.youtube.com/watch?v=WAw7a_CD49M,https://i.ytimg.com/vi/WAw7a_CD49M/hqdefault.jpg,25K,"Presenting the live event of the song, Alcoholia from the movie, Vikram Vedha Directed by Pushkar & Gayatri. Starring, Hrithik Roshan, Saif Ali Khan and Radhika Apte in lead.Song Credits: Song: AlcoholiaMusic : Vishal And Sheykhar   Lyrics : Manoj Muntashir Singers: Vishal And Sheykhar, Snigdhajit Bhowmik, Ananya ChakrabortyMusic Arranged & Produced by: Meghdeep BoseDirector of Choreography - Ganesh HegdeMusiciansRiff written by : Meghdeep BoseIndian Stick Percussions : Arun Solanki & Keyur BarveGuitars, Bass & Modular Synths : Meghdeep BoseChoir : Umesh Joshi, Vijay Dhuri, Janardan Dhatrak, Vivek NaikRecorded by :Vijay Dayal & Chinmay Mestry @ YRF Studios, MumbaiMeghdeep Bose & Hanish Taneja @ TAG Studios, MumbaiAbhay Rumde @ Purple HazeMixed and Mastered by : Hanish TanejaMusic Label: T-Series _________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
"Alcoholia:Vikram Vedha | Hrithik Roshan, Saif Ali Khan | Vishal-Sheykhar, Manoj M |Snigdhajit,Ananya",2:11,16M views,21 hours ago,https://www.youtube.com/watch?v=zACzoUH4JDs,https://i.ytimg.com/vi/zACzoUH4JDs/hqdefault.jpg,341K,"Presenting the dancing number of the year, Alcoholia from the movie, Vikram Vedha Directed by Pushkar & Gayatri, sung by Vishal And Sheykhar, Snigdhajit Bhowmik & Ananya Chakraborty, music by Vishal & Sheykhar penned by Manoj MuntashirSong: AlcoholiaMusic : Vishal And Sheykhar   Lyrics : Manoj Muntashir Singers: Vishal And Sheykhar, Snigdhajit Bhowmik, Ananya ChakrabortyMusic Arranged & Produced by: Meghdeep BoseDirector of Choreography: Ganesh HegdeMusiciansRiff written by : Meghdeep BoseIndian Stick Percussions : Arun Solanki & Keyur BarveGuitars, Bass & Modular Synths : Meghdeep BoseChoir : Umesh Joshi, Vijay Dhuri, Janardan Dhatrak, Vivek NaikRecorded by :Vijay Dayal & Chinmay Mestry @ YRF Studios, MumbaiMeghdeep Bose & Hanish Taneja @ TAG Studios, MumbaiAbhay Rumde @ Purple HazeMixed and Mastered by : Hanish TanejaMusic Label: T-Series _________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
Zooby Zooby Old vs New Mix Status 🕺😍💃 #KhushaliiKumar Dance 👸🏼💃 👸🏼 #Shorts ❤️❤️,SHORTS,174K views,22 hours ago,https://www.youtube.com/shorts/uxefHsf_7PI,https://i.ytimg.com/vi/uxefHsf_7PI/hq720_2.jpg,7.8K,
"Alcoholia (Teaser) Vikram Vedha | Hrithik Roshan, Saif | Vishal-Sheykhar, Manoj M |Snigdhajit,Ananya",0:20,778K views,1 day ago,https://www.youtube.com/watch?v=on8u-oKWC6U,https://i.ytimg.com/vi/on8u-oKWC6U/hqdefault.jpg,35K,"Presenting an official teaser of the song, Alcoholia from the movie, Vikram Vedha Directed by Pushkar & Gayatri, sung by Vishal And Sheykhar, Snigdhajit Bhowmik & Ananya Chakraborty, music by Vishal & Sheykhar penned by Manoj MuntashirSong: AlcoholiaMusic : Vishal And Sheykhar   Lyrics : Manoj Muntashir Singers: Vishal And Sheykhar, Snigdhajit Bhowmik, Ananya ChakrabortyMusic Arranged & Produced by: Meghdeep BoseMusiciansRiff written by : Meghdeep BoseIndian Stick Percussions : Arun Solanki & Keyur BarveGuitars, Bass & Modular Synths : Meghdeep BoseChoir : Umesh Joshi, Vijay Dhuri, Janardan Dhatrak, Vivek NaikRecorded by :Vijay Dayal & Chinmay Mestry @ YRF Studios, MumbaiMeghdeep Bose & Hanish Taneja @ TAG Studios, MumbaiAbhay Rumde @ Purple HazeMixed and Mastered by : Hanish TanejaMusic Label: T-Series _________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
Dhokha: Round D Corner | Dialogue Promo 02: Maut Ke Hawale Kar Diya | 23rd Sep 2022 | Bhushan Kumar,0:30,36K views,1 day ago,https://www.youtube.com/watch?v=PwxqXH-65Bs,https://i.ytimg.com/vi/PwxqXH-65Bs/hqdefault.jpg,728,"""Yahan Har Kadam Par Dhokha Hai"" Pata karo #SachKyaHai Presenting, Dialogue Promo 02: ""Maut Ke Hawale Kar Diya"" from the movie, #DhokhaRoundDCorner starring R. Madhavan, Khushalii Kumar, Darshan Kumar, Aparshakti KhuranaGulshan Kumar & T Series PresentsA T Series Films Production, ""DHOKHA: Round D Corner""Produced By: Bhushan Kumar, Krishan Kumar, Dharmendra Sharma, Vikrant SharmaA Film by Kookie Gulati and is slated to hit cinemas on 23rd September 2022.Co-Producer  Shiv Chanana   President Global Digital Business & Legal (T-Series) Neeraj KalyanWritten By : Kookie Gulati Dialogues And Additional Screenplay: Neeraj Singh Dop: Amit Roy Production Design: Durgaprasad Mahapatra Editor: Dharmendra Sharma (A.F.V.E)Project Manager: Alok Kumar Shukla  Marketing & Promotions  Shivam Chanana, Raj Chanana, Prashant Shetty, Mita Choudhary, Rahul Dubey, Amol Bhamare, Heett SavlaMusic On: T-Series  Music Team: Raj Chanana, Shivam Chanana, Sonal Chawla, Sonu Srivastava, Vivin SachdevaCostume Designers: Sanam RatnasiHead Of Production (T-Series): Mahipal Karan Rathore Associate Director: Ameet SiinghMusic : Tanishk Bagchi, Bappi Lahiri, Rochak KohliLyrics: Kumaar, AnjaanAction Director: Abbas Ali Moghul Background Music: Amar MohileSound Designer: Kaarthic SenthilRe-Recording Mixer: Akash Sengupta & Yogesh Nehe,Executive Producer: Meenakshi PandeyPost Production: The Post Co. Casting Director: Mukesh Chhabra(Csa)  Hair And Make Up Designer. :Rebecca Rodrigues,Choreographer: Ranju Varghese   Publicity Design: Himanshu & Rahul Nanda (H-One)  Di: Red Chillies Color Colorist: Ken Metzker Vfx: After Studios Creative Head: Rajeev Rajasekharan (After Studios)Visual Promotion: Just Right Studioz NxPr Agency: Communiqué Film Pr Marketing Director: Varun Gupta (Max) Digital Marketing: Little Monk Doyenne_________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
Mere Dil Gaaye Ja 😍 (Zooby Zooby) Tutorial Video 😍 | #khushaliikumar Tutorial 💃 | Learn To Dance 🕺,SHORTS,333K views,1 day ago,https://www.youtube.com/shorts/5VWuF_lq3kk,https://i.ytimg.com/vi/5VWuF_lq3kk/hq720_2.jpg,12K,
"Vedha Ka Ruab-Vikram Vedha BTS | Hrithik Roshan, Saif Ali Khan, Pushkar & Gayatri| IN CINEMAS 30SEPT",1:31,1M views,1 day ago,https://www.youtube.com/watch?v=5Gaol65FtVs,https://i.ytimg.com/vi/5Gaol65FtVs/hqdefault.jpg,44K,"Vedha ka ruab!Vikram Vedha behind the scenes series#VikramVedhaTrailer : https://bit.ly/VikramVedha-OfficialTr... Buy the @bookmyshow voucher: https://bookmy.show/VikramVedha-Voucher Vikram Vedha is an action-thriller showcasing the face-off between a tough cop Vikram (Saif Ali Khan) and a dreaded gangster Vedha (Hrithik Roshan). The film underlines 'Between Good & Evil, what you choose, defines you'.""Vikram Vedha"" presented by Gulshan Kumar, T-Series and Reliance EntertainmentIn association with Friday Filmworks & Jio StudiosA YNOT Studios ProductionDirected by Pushkar & GayatriProduced by Bhushan Kumar, Krishan Kumar, S. Sashikanth, Reliance Entertainment & Friday FilmworksA PVR Pictures, Pen Marudhar & Home Screen Entertainment ReleaseVikram Vedha hitting cinemas worldwide on 30th September 2022.Starring: Hrithik Roshan, Saif Ali Khan, Radhika Apte, Rohit Saraf, Yogita Bihani, Sharib Hashmi and Satyadeep Misra._________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉 Like us on Facebook: https://www.facebook.com/tseriesmusic👉 "
