title,video_len,views,date_time,video_link,thumbnail_link
Live Mock DSA | GeeksforGeeks,1:03:52,2.4K views,Streamed 1 day ago,https://www.youtube.com/watch?v=P8qLFnD2hdY,https://i.ytimg.com/vi/P8qLFnD2hdY/hqdefault.jpg
Live Mock DSA | GeeksforGeeks,1:05:49,4.5K views,Streamed 2 days ago,https://www.youtube.com/watch?v=o6XaoXh89R8,https://i.ytimg.com/vi/o6XaoXh89R8/hqdefault.jpg
Roadmap to Web Development | Everything About Web Development Ft. Prakash Sakari,6:02,1.3K views,4 days ago,https://www.youtube.com/watch?v=PLdt7UobcoY,https://i.ytimg.com/vi/PLdt7UobcoY/hqdefault.jpg
Advantages of Joining a Job after graduation | GeeksforGeeks,SHORTS,1.6K views,4 days ago,https://www.youtube.com/shorts/cYqVF04edcE,https://i.ytimg.com/vi/cYqVF04edcE/hq720_2.jpg
Road Map of DSA for Web Development | Everything About Web Development Ft. Prakash Sakari,3:11,1.9K views,5 days ago,https://www.youtube.com/watch?v=1b0P4IG7MIc,https://i.ytimg.com/vi/1b0P4IG7MIc/hqdefault.jpg
Biggest Coding Mistakes | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,8:29,1.5K views,6 days ago,https://www.youtube.com/watch?v=cAYfzY-9dao,https://i.ytimg.com/vi/cAYfzY-9dao/hqdefault.jpg
Overrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,2:44,721 views,7 days ago,https://www.youtube.com/watch?v=wnwAYPTf9Z8,https://i.ytimg.com/vi/wnwAYPTf9Z8/hqdefault.jpg
Live Mock DSA | GeeksforGeeks,1:01:45,2.5K views,Streamed 7 days ago,https://www.youtube.com/watch?v=Wc3zJbEkoSo,https://i.ytimg.com/vi/Wc3zJbEkoSo/hqdefault.jpg
How Important is UI for Websites? | Everything About Web Development | GeeksforGeeks,3:57,606 views,8 days ago,https://www.youtube.com/watch?v=imRxEskXGx8,https://i.ytimg.com/vi/imRxEskXGx8/hqdefault.jpg
Why you should Work for a Company before Masters |  GeeksforGeeks,SHORTS,3.3K views,8 days ago,https://www.youtube.com/shorts/z0qlZBEFoHo,https://i.ytimg.com/vi/z0qlZBEFoHo/hq720_2.jpg
Underrated Topics in Web Development | Everything About Web Development Ft. Prakash Sakari,3:46,608 views,9 days ago,https://www.youtube.com/watch?v=MvxiK9tfjNw,https://i.ytimg.com/vi/MvxiK9tfjNw/hqdefault.jpg
Live Mock DSA | GeeksforGeeks,49:59,2.2K views,Streamed 9 days ago,https://www.youtube.com/watch?v=VQzsnqeWQ8I,https://i.ytimg.com/vi/VQzsnqeWQ8I/hqdefault.jpg
