title,video_len,views,date_time,video_link,thumbnail_link
"Maruti Grand Vitara | Hybrid SUV  2022 | Mileage, Features, Interiors | Auto Review",15:39,1 hour ago,1 hour ago,https://www.youtube.com/watch?v=Ab3qZKvp2do,https://i.ytimg.com/vi/Ab3qZKvp2do/hqdefault.jpg
"Rent Of ₹65,000 For 3BHK In Bhendi Bazar, Mumbai | The Tenant",11:34,3 hours ago,3 hours ago,https://www.youtube.com/watch?v=CXMg4h5TEkM,https://i.ytimg.com/vi/CXMg4h5TEkM/hqdefault.jpg
Live | PM Modi Launches New National Logistics Policy On His Birthday | New Reform To Cut Costs,34:03,Streamed 17 hours ago,Streamed 17 hours ago,https://www.youtube.com/watch?v=pc4L6W2rM2Q,https://i.ytimg.com/vi/pc4L6W2rM2Q/hqdefault.jpg
"Weekend Guide: What to Watch, Read, Listen & More!",3:44,1 day ago,1 day ago,https://www.youtube.com/watch?v=m4Hwph5ZzaQ,https://i.ytimg.com/vi/m4Hwph5ZzaQ/hqdefault.jpg
LIVE: Finance Minister Nirmala Sitharaman At 75th AGM Of IBA | FM Sitharaman | Banking Sector,31:55,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=mCu5s05LWSo,https://i.ytimg.com/vi/mCu5s05LWSo/hqdefault.jpg
#Markets ended the week on a weak note and fell sharply today #sensex #nifty #moneycontrol #stocks,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/t6SA5Pj8QDA,https://i.ytimg.com/vi/t6SA5Pj8QDA/hq720_2.jpg
iPhone 14 Goes On Sale Today! Here’s What % Of Your Country’s Average Salary It Costs,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/bOxHdZAGQ1w,https://i.ytimg.com/vi/bOxHdZAGQ1w/hq720_2.jpg
KEC International: Why You Should Buy The Stock Despite Recent Recovery | Ideas For Profit,3:03,1 day ago,1 day ago,https://www.youtube.com/watch?v=BuQKgebPdf4,https://i.ytimg.com/vi/BuQKgebPdf4/hqdefault.jpg
"Stock Market Live: Sensex and the Nifty have dropped over 2% | Bajar Gupshup | Sept 16, 2022",6:28,1 day ago,1 day ago,https://www.youtube.com/watch?v=qYQQq5_z3N4,https://i.ytimg.com/vi/qYQQq5_z3N4/hqdefault.jpg
Stock Market Live: Two Smallcap Stocks To Watch Out For | Markets With Santo & CJ,21:41,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=Ri9I-1wnelc,https://i.ytimg.com/vi/Ri9I-1wnelc/hqdefault.jpg
Commodity Live: Gold at 6-Month Low; Should You Buy Now?,5:55,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=kmvlWQUpZUM,https://i.ytimg.com/vi/kmvlWQUpZUM/hqdefault.jpg
Stock Market Live: Bank Stocks On Fire! Which Lender's Stock To Buy? | Markets With Santo & CJ,19:16,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=N9obYsIOgBc,https://i.ytimg.com/vi/N9obYsIOgBc/hqdefault.jpg
"Stock Market Live: What’s Driving Tyre Shares Higher? | Adani Port, Tata Power & PVR In Focus",27:10,Streamed 2 days ago,Streamed 2 days ago,https://www.youtube.com/watch?v=WJLSnfSZKhA,
#SustainableIsAttainable with Tata Power and News18Network,0:45,2 days ago,2 days ago,https://www.youtube.com/watch?v=WE1Pal0s2s8,
