title,video_len,views,date_time,video_link,thumbnail_link,likes,Description
"Maruti Grand Vitara | Hybrid SUV  2022 | Mileage, Features, Interiors | Auto Review",15:39,1 hour ago,1 hour ago,https://www.youtube.com/watch?v=Ab3qZKvp2do,https://i.ytimg.com/vi/Ab3qZKvp2do/hqdefault.jpg,18,"Marking Maruti Suzuki’s entry to the cut-throat mid-size SUV segment is the new Grand Vitara. Identical twin to the Toyota Hyryder, can the Grand Vitara’s hybrid powertrain, efficiency-oriented nature and phenomenal off-roading prowess convert the vast cohort of Creta and Seltos buyers? Can the Grand Vitara make Hybrids mainstream? Watch the video to find out! #marutisuzuki #carreview #moneycontrol #grandvitara #drivereport "
"Rent Of ₹65,000 For 3BHK In Bhendi Bazar, Mumbai | The Tenant",11:34,3 hours ago,3 hours ago,https://www.youtube.com/watch?v=CXMg4h5TEkM,https://i.ytimg.com/vi/CXMg4h5TEkM/hqdefault.jpg,87,"From a small room in a dilapidated building into a 3BHK apartment in a new building. In this episode of The Tenant, we talked to a family which has seen a transformational lifestyle experience. We show you an apartment in Bhendi Bazaar -- a locality infamous for once being the location where fugitive gangster Dawood Ibrahim had several properties. Our Tenant says that the location may have several challenges but they get all sorted once they enter their new home. Watch the whole episode! #realestate #mumbai #TheTenant #property #rent  "
Live | PM Modi Launches New National Logistics Policy On His Birthday | New Reform To Cut Costs,34:03,Streamed 17 hours ago,Streamed 17 hours ago,https://www.youtube.com/watch?v=pc4L6W2rM2Q,https://i.ytimg.com/vi/pc4L6W2rM2Q/hqdefault.jpg,144,"Prime Minister Narendra Modi is set to announce the new National Logistics Policy today. The policy is expected to promote the seamless movement of goods and streamline rules and address supply-side issues in the sector. Most importantly, it'll help provide a roadmap to lower costs like fuel and logistics, enhancing the competitiveness of the industry. The policy draft was released for consultation in 2019 but was delayed due to the pandemic. #live #pmmodi #modi #nlp #moneycontrol #moneycontrolive "
"Weekend Guide: What to Watch, Read, Listen & More!",3:44,1 day ago,1 day ago,https://www.youtube.com/watch?v=m4Hwph5ZzaQ,https://i.ytimg.com/vi/m4Hwph5ZzaQ/hqdefault.jpg,24,"Detailed guide to all the latest OTT releases, book recommendations, podcasts and exciting activities to indulge over the weekend! This weekend, you can pick from a host of Netflix & Amazon prime releases, a book on making better decisions, listening to podcasts, attending fun events & much more! #weekend #AmazonPrime #Netflix #OTT #DisneyHotstar #topreads#sonyliv #mxplayer  "
LIVE: Finance Minister Nirmala Sitharaman At 75th AGM Of IBA | FM Sitharaman | Banking Sector,31:55,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=mCu5s05LWSo,https://i.ytimg.com/vi/mCu5s05LWSo/hqdefault.jpg,48,Finance Minister Nirmala Sitharaman delivers the keynote address at the 75th AGM of the Indian Banks Association in Mumbai. FM will also felicitate Top Performers of EASE 4.0 Awards by IBA. #live #nirmalasitharaman #nirmala #nirmala_sitharaman #moneycontrol #moneycontrolive 
#Markets ended the week on a weak note and fell sharply today #sensex #nifty #moneycontrol #stocks,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/t6SA5Pj8QDA,https://i.ytimg.com/vi/t6SA5Pj8QDA/hq720_2.jpg,47,
iPhone 14 Goes On Sale Today! Here’s What % Of Your Country’s Average Salary It Costs,SHORTS,1 day ago,1 day ago,https://www.youtube.com/shorts/bOxHdZAGQ1w,https://i.ytimg.com/vi/bOxHdZAGQ1w/hq720_2.jpg,49,
KEC International: Why You Should Buy The Stock Despite Recent Recovery | Ideas For Profit,3:03,1 day ago,1 day ago,https://www.youtube.com/watch?v=BuQKgebPdf4,https://i.ytimg.com/vi/BuQKgebPdf4/hqdefault.jpg,20,"Shares of KEC International made a bottom at around Rs 390 and then moved up to current level of around Rs 450. Albeit the recovery, the stock still offers great value. It is quoting at 14 times its FY24 estimated earnings, around its long-term average, which is quite attractive. Here’s why #kecinternational #stockmarket #moneycontrol #investors #businessnew "
"Stock Market Live: Sensex and the Nifty have dropped over 2% | Bajar Gupshup | Sept 16, 2022",6:28,1 day ago,1 day ago,https://www.youtube.com/watch?v=qYQQq5_z3N4,https://i.ytimg.com/vi/qYQQq5_z3N4/hqdefault.jpg,91,"Both the BSE Sensex and Nifty have dropped over 2.3% in the last three trading sessions
IT stocks have been reeling since the start of the year.  Watch the video to know about today's market action.  "
Stock Market Live: Two Smallcap Stocks To Watch Out For | Markets With Santo & CJ,21:41,Streamed 1 day ago,Streamed 1 day ago,https://www.youtube.com/watch?v=Ri9I-1wnelc,https://i.ytimg.com/vi/Ri9I-1wnelc/hqdefault.jpg,60,"Smallcap stocks have been all the rage recently and CJ has dug out two stocks that should be on investors' radar. Plus catch Santo, who has compiled a list of stocks where bears will hunt for gains in the coming weeks. #live #smallcap #smallcapstock #stockmarket #sharemarket #nifty #sensex #nse #bse #marketslive #businessnews #closingbell #marketsnews "
